surname,g1,g2,dob,sex,age_group,cause_of_absence,Num_missing,age_first,age_last,missing_period,missing_per_year,clothes,coat_color1,coat_type,date_last_seen,date_located,dress_type,hand,hat_type,hat_color1,jewelry_type,missing_before,place_last_seen,pants_type,place_located,previously_found,shoes_type,shirt_type,skirt_type,young_offender,cyber_crime_type,demage_total,detail_count,district,down_time,durg_alcohol,drugs_total,family_violence,follow_up_count,founded,fraud_type,gang_involvement,gang_type,hate_crime_ind,how_method,location,location_code,loss_total,object_of_theft1,object_of_theft2,object_of_theft3,object_of_theft4,object_of_theft5,occ_date,occ_name,occ_time,occupancy_code,person_count,person_target,place_name,recovered_total,unident_count,vehicle_count,vehicle_target,vehicle_type,viclas_flag,violation_count,weapon_status,weapon_type,week_day,x_coordinate,y_coordinate,zone,caution,citizenship,build,complexion,country_of_birth,disability,drivers_license,employer,eye_color,facial_hair,facial_hair_color,gang_name,hair_color,hair_style,height,language,marital_status,occupation,race,weight
Hilda,91438,95490,"January 18th, 2016",1,2,64807250,23,10,10,42,36,45061,86789,59030,"March 4th, 2017","June 6th, 2019",06438,68833,73064,32218,28479,7,72813,ZKZBQ,WSDJZ,GIOVX,JXNXV,THVOD,FDJMX,HANNC,PBDKO,XPQJD,OOWTD,TKQWM,IIXSO,RFVKS,MHALS,IMBCT,6,PLSCC,HFPME,ZCRCZ,LYFPR,JKWFP,NVTAX,FNNDM,GPQFN,NENEV,FGQQW,DBMUS,BNSDC,QFPSK,MZYGL,FZQPR,WCEOM,LWCNN,NRZML,ZFSRN,HALLQ,HEPIB,IDGFQ,QCGSW,YRPKK,SZCBQ,LBIRT,NKDEN,TCLWY,PWYQU,DZSPI,QWAZJ,TMWKH,ITPZS,VGSYX,GJTFG,BDPJC,ZVFSU,NTRIW,FYQXF,WDGRG,EQUOF,BVJBK,NFSTJ,XNSOJ,YISPM,violet,VDDVL,XYCUT,926,ZFMZP,SFUGL,XYJXR,VQVDN,HSEQW
Ora,02985,12278,"January 8th, 2016",0,8,66763131,9,4,14,39,9,62660,15839,50789,"September 2nd, 2017","February 7th, 2016",21771,51158,85938,00944,71968,4,37561,DBCAE,CIOGB,HGCVH,DBIYG,LWGAH,LNSRN,TMNBC,BJIVG,JPSCR,CHYDN,AYEPZ,BYPYY,TVZFG,PNSYW,JZSIC,0,QPLDK,BSEJK,ZLVGO,KPFCA,SERRH,FIVJB,LDQHS,AWPJM,EKPWE,OXIFM,LOTON,CFXLK,MGOMK,JIGEZ,MQPQW,RTCJU,FJAAA,QRJOC,KFHIN,WVKWL,CDQBW,TZOKO,XCAVQ,LFOAE,BMZOX,LPLMW,UBQUE,LPOPY,TKSVD,IJSNC,BAHPQ,NDXUG,UQSLI,LUDSG,RHNAQ,BVFRO,RLAAW,FZVIW,TRNIX,EGTNQ,NACBP,OQKQF,SBCPP,CONBB,QLCNZ,,GQFKG,CJIDY,180,YFLZB,AHAEB,CLSNT,XZEIF,EHKLY
Ezra,40144,11262,"August 7th, 2015",1,0,41539049,20,4,15,37,50,01866,69451,81942,"August 17th, 2018","July 13th, 2015",86903,89720,92488,92259,46455,7,48242,ZIAJR,ZHEAH,OVGGX,BWOEH,QGBLU,SCAID,ZBJHK,KIODF,YLJCC,JQBSW,ZAVZP,JBFCY,KCLJF,FJMOP,BOLGQ,2,EECFH,FOIGY,LPYML,FQWYZ,YEYEQ,IKWLU,QXEGR,IGDRP,AZFKN,GUJRI,FDKNV,UMIHJ,RZYIF,MZRVR,YDHLV,UTXZT,XBOAO,TNGMJ,ATTZA,KVSBJ,FRPET,EUGCQ,WROZW,XNAWL,XBACL,XALJD,JMQNL,GFAOI,NPSLQ,UKXLF,ZPMTT,OTABG,HFHGE,DFYAU,VHKYC,PRMCH,FTHXK,JXIAH,SAOBV,KICCM,PXNGX,OAMKS,SHPSR,DQYGW,AJNAP,test,OWRRD,SUMRE,800,KKFKE,TCHIH,HHTOE,WXYTG,NNBYM
Celeste,68469,74125,"April 2nd, 2018",1,3,42385199,4,0,18,1,40,10824,03424,66652,"December 2nd, 2016","September 23rd, 2015",54758,10121,69156,23032,81303,3,53598,QGTRS,MKTLI,PZIWL,XPIDB,VTQKH,UAHJH,PDQSO,ANPVN,PGPRK,ZYDLJ,LPRON,EPTSV,CKWHZ,SVWNY,NJLXB,7,WSFLA,MCGWM,PSNJJ,BTFII,HHZSD,LXUGO,ZDJCY,ZEPAL,TYDEY,BAAUK,YDPEV,OVOPV,RPMHF,LETKB,NFWOK,KBVNV,XJIWK,YHDXN,IMHDW,RAADJ,FZKJY,WFXGL,JZBYC,CRSHR,RPCCK,EIYKQ,ITZYY,CVMHF,UKLDL,ZUNYK,NAQAI,WJIGB,IAJVH,JXJRR,LSYWY,QKZQC,TTKHU,MKIHV,NQOPS,OZYJA,DXHKZ,WCVFE,PBZOB,IVCTB,ISOWR,orange,VQHMV,TLCVY,082,QKTUO,VAEZF,CUATQ,NONFL,RAOLG
Kimberley,97159,45756,"June 30th, 2019",1,8,06368171,20,3,10,0,18,03972,80573,25104,"July 24th, 2015","July 4th, 2017",34367,43733,71709,21422,46027,0,52582,UWNBW,JSDBL,YOCYT,YHQHF,ZSBID,VJFTQ,VBVHH,VNVCB,SPWZY,UQFCA,GYOEU,ZXOOI,TSJPE,BORNZ,PVVGF,8,HDIWF,GDIXH,HQLTD,EZMHL,IWJAB,YEXXD,OMDGU,NAVSX,DZDMF,YPITL,KHZZA,FAMQS,HLQLY,LTSHL,THUJO,KPXRM,AVCLJ,MQSNV,EZTCD,MWGFQ,SMFUE,CPIYD,JNESK,WZNIP,HWLNC,FKYEV,LJWGE,AUEKK,YOOET,JISMO,RVYIC,KHTGI,KFSGM,UQOQI,SLHZY,FOELC,UOMSG,UUCEJ,XLOTG,CJQSE,HSSPO,ATVIB,CHPCD,ZZYXS,AUXIY,,IBTKI,UUXHQ,382,PZKOC,RRFNV,ROIZI,MRQZX,QQNQB
Lars,61221,28584,"January 15th, 2018",0,2,99381434,38,10,12,10,28,01768,27845,99899,"September 24th, 2015","June 27th, 2017",57799,67226,87858,49301,27025,1,27759,DCPSN,TNRWW,HLLXP,CVGLQ,YUMPC,WXYXO,MICWW,HTARM,BRKRQ,EJHEK,GYWBV,KZINL,DTQQY,QOOIO,TGBME,5,LROTK,WRPRQ,QGFYQ,YNMVS,OMPDS,SBQZF,SDMZN,XWUBA,WNNHD,SWKGL,FFQBG,MXCPL,XUCDU,XVLTG,QCLAC,GOXRE,ZLPVU,WQBPF,UNHDU,PFTSV,SAKXY,YHKLY,JNHIN,GIBGM,YHTVP,INKKA,VIZKL,RXFTX,CTQOM,JMBYM,EINXB,OMRPA,SXKWB,DKBDQ,IPCWL,VBYTC,TYUCT,VVFMG,VZLMP,ZZRVM,AUEDQ,DEQZY,IWGHQ,XMFOO,MOXUC,orange,VSISE,EHCYG,861,XEANW,NIRMY,MUXKT,ROAID,TUUGI
Kaseem,90621,91783,"May 27th, 2017",0,4,95586392,0,0,10,0,16,08008,29671,85805,"December 22nd, 2017","July 1st, 2016",29220,51993,64896,78916,58556,8,48232,XCOSE,OPWHG,JCDMY,FMCPP,UQUZN,CLLUP,NKFDO,CHBGB,SDLCF,SLIDG,RXHTL,VDMXO,XGMFJ,IMHKR,UZFTV,1,DEFOE,FIITY,CYBPD,WITBP,GRDXD,VHVUN,XSVWW,NLLUS,OAQSC,LNFBZ,GSPUQ,NEAQJ,RXCJI,BNIMI,FAMSP,PEWLW,NUXDK,IOGRF,NFACB,TYPBC,GXSIR,YIBUO,NXILX,JTLWD,ZMPLC,TZXAG,MLOCU,IHDHG,APVVD,EAXFG,PQLTQ,VOLSB,QDMFK,LANSX,POHRC,RHIMQ,FRANP,BLVAA,HXYME,YICON,NGZIU,TQMAU,GCTTU,RWBES,XGLGB,,OGPST,PEKFG,721,BFOCF,SUTIN,UWLSB,OTWFC,CSQCZ
Malcolm,85426,71076,"February 5th, 2017",1,2,38276666,23,10,13,38,41,60769,37898,49537,"June 18th, 2019","November 23rd, 2019",85854,11729,56567,49031,71180,6,22787,VMUUI,ORLUL,FSRLW,SFYKE,MMLXP,MPVKW,TSLIY,AMIAJ,GYUUM,PHWKX,ZWJQZ,TUBIW,MEVBU,PBBGO,GZVBL,4,WIIVR,CAFUE,BVSBO,NFKMM,HANLF,FUFLY,LPXQI,YVLTO,YOCHA,GBFSF,ZHDYX,JMABN,KACJJ,LPBUH,QDZVT,FPPLN,YQYDI,IAPWR,CWAFT,IBYBL,QCSZL,NOUIJ,DZWUD,EMEWO,WKNON,YUSWN,NENJM,GOVGV,UJNOJ,QSZAZ,XOJGU,XZNFH,AVWSV,JCLGY,IDATG,OHDTY,QWHZQ,YABTH,GXHYV,SPINK,CSHEG,PGTNM,PMRJM,SVZWP,UZXCL,,EGDRH,CSDQU,972,SYFCT,LMMTD,XIFYQ,ZRTQY,BEYXN
Rae,32196,85689,"August 19th, 2017",0,3,07286342,3,10,11,39,33,39441,19481,93860,"September 15th, 2017","March 28th, 2015",12338,99357,01536,91992,69386,0,43747,UZVYE,ROFLJ,XWGCJ,YFYBH,JWSMJ,BBZAA,BADUG,GIMCK,ROVSH,UYGDP,YIFCJ,MGREW,GUKAG,HEJSO,MNOHZ,4,SZQJH,JUCSU,HLFLX,RLZGZ,NXJYB,AVZPL,UYKHP,NEOIU,YEOCK,DGQVN,YVSJA,AGYSE,BAVVZ,RKVUN,VCKOS,FZNGO,IXJMR,FYETP,GLXGR,FZTEW,UJDUM,CPTEA,RZSJQ,UJWDV,HDMIZ,UAXGK,BWQNS,OZWTB,NAXPW,JQNBJ,EOZPO,ICBRB,BJAGM,PDMAO,ZFSLO,BVKLV,KHSGH,TFUKY,JUSKH,TIMQB,MPZMM,XORNM,ISBIP,IGOJP,OEEAE,violet,PMVME,RJRDJ,696,BWEEZ,COMBY,RRJSS,FXTQR,QRNXO
Ross,84663,79805,"April 5th, 2016",1,8,47822357,47,2,10,21,5,29255,64153,20254,"June 4th, 2018","July 7th, 2019",83918,52795,93413,67675,37391,9,68464,QUAVG,AMUMS,AAWLO,PWNZA,EVWTI,JQLTL,ZGVEG,BKTCX,ZYOWW,DTQTK,FYSFC,CNNZL,KYWJQ,JKDRL,JYXSH,3,VYOPB,XCOAE,OBJHU,JTOJX,PXXQI,MWKKT,ACSJH,TXJYW,MINOS,ATVZX,MOACV,ZXPIX,KRUMA,NUDWO,TRNOV,LEOKH,OTNSM,ADQNU,XFLUQ,NBTYP,XWKHA,UXANZ,QKZNJ,BTRSK,HLCZF,JXCUI,YLOZN,URYXM,TTSAA,NJNEZ,ZNCUG,WTZDL,WBHBC,UKMLW,MARMQ,AXEFT,MRRGP,KNCGK,HRIVO,UUELL,GMDAE,HNVNO,RPICC,ETFJR,SDKMO,,PPYIU,MYAUN,613,WDQHP,MRWNA,QTYML,MSVCH,EHHRA
Zorita,68397,45877,"March 12th, 2019",0,7,45489327,49,5,19,23,24,53991,31708,71466,"October 3rd, 2017","October 23rd, 2015",72516,68461,51805,74944,91324,9,99162,FSPWT,UXQFH,FBVRV,JZEEA,GOLDM,GEOJR,SDRGU,PRNKF,ANAHV,LMNXO,ROXXH,BZIMP,OOGIC,FIQSY,ANWXZ,9,HNNVQ,FOANU,HGBGZ,QYXMZ,LYMSK,WNMXH,SCZRG,JJSIE,VKWPN,KPETC,QJCOR,WSGPD,HJSOY,ZXTEQ,FVCXQ,CJLLB,ICPKY,KLPTS,IECQS,AEKIZ,SIXOD,UQZBF,YGCUI,KGETB,BSWBT,WTDRP,BLAUB,ITMMZ,HIGBW,XOKBY,HKJHS,KPIFQ,LDXSA,GVAGA,TRDZD,MDJEQ,HPEWF,HDJTB,DFWTF,XUNHZ,HRIWR,XAVEX,GJVUP,EEPZM,NWDVZ,orange,DPSDV,OIJFL,856,OUDLX,OXIPM,MOYQN,MISDJ,MKKUU
Dominique,79279,94804,"June 2nd, 2019",0,9,76288571,44,1,10,42,32,09020,38946,15143,"December 14th, 2017","April 25th, 2015",27664,84614,29779,04071,66191,9,82015,JFXBN,WXUSF,ZTZTD,WSVHE,XHOTU,BDBFT,PCMBJ,XQOHK,SWVDO,IVKUF,MXRPN,XZLYU,LWABW,XKBHP,IERHV,8,YVEXM,MGZKF,CCNYZ,ZVFAU,RESHB,YLVBH,NALWB,LQNOC,CAIAS,HGBIO,NTGRM,SXIWQ,YBEPD,LGABE,JCWZQ,LOONR,LZBAI,QAVFV,BEELT,GWWWC,FFKQY,VHLSN,PGKQA,TOIUY,RQWLS,TMSIP,XFKHB,LBLKJ,LQEVG,DTPKP,DNGLV,FXDUW,KOMGU,JFBTH,HSHKN,ULOSH,CIDFZ,QTFPY,MPJOV,LILOF,PDYGV,MDWXS,AWXWZ,KERPI,IHIGM,test,FDZIA,PJLSK,359,UEDUI,OHNQT,NKKWZ,MFTOL,LHVSI
Malachi,27448,79433,"January 7th, 2019",0,5,11256663,47,2,20,13,27,70484,90170,08521,"August 16th, 2015","November 1st, 2019",33120,52047,86874,92187,54656,0,07634,SPXOA,FPLBT,MYTBS,MQNOZ,SIAFR,CZNGC,JBXEL,XWRWP,EBQXT,EZSNJ,ZFCNL,FXOAP,PUATQ,XKKHS,QXNKI,7,EQDJJ,LTZDV,LNGRB,WDXEY,JWABK,FYNOC,LOKCO,MCMHW,SVPHG,PMLIE,OIXNG,EWXXM,VCVSO,IAOCY,FTMYU,IBDBV,GTWKJ,QFAWF,IRVAD,QTYOZ,ILGZF,EUVJW,STFJM,ACIYV,AULXS,FYVNA,BWHDJ,EIJVE,KHYZX,ZQGGV,ESQWD,YMSHQ,NFXAF,MCAJV,DRMHF,PVYVF,FRIPT,WAAPR,DGSWB,VUQGT,ARYLV,NTZPC,LAQDR,UTKUA,DMFAE,test,CRWTZ,JSJLV,746,RLCFT,PKVKH,WIJRA,RYIMV,UBUTM
Camilla,74627,61330,"October 5th, 2018",1,10,63000672,38,3,19,32,3,34908,73561,61641,"October 15th, 2017","May 11th, 2019",93057,05121,21757,22002,33846,6,44538,ZPXOS,SQEBF,XUTDU,LJQZM,FLQVY,GQITK,GRUFM,LOIDN,YOKHV,TSZPF,GSDZF,XUJGF,JUGHX,GFACP,RTPJJ,1,CFAOC,FUSQM,NNTJJ,WPWXL,KSXOH,GGEVM,DVVXU,DCCHH,HAPBR,QENER,VZDDJ,UYNFW,IDOEW,NQFIA,XXAGU,PCECA,SBMXK,FYKXO,WKYXS,FCVWP,RSADU,HSCBA,CTCNA,FHPSC,CJZSC,ZAAZN,JNKJK,FAZFK,WGRIH,MZQXG,YXFPM,WTRKE,XLSAD,GRBJZ,SFOPS,OTGLQ,UTAOZ,IQWTR,NDLVD,IHVIX,ELUNI,TVQNW,UQIFE,SPLGY,XMRTL,violet,SLHCE,DHGBT,850,EMPPD,TXPIQ,VBRTH,MIRAK,OUNRA
Gray,46699,10970,"July 12th, 2015",1,1,32117008,29,10,20,11,4,82976,75360,90045,"February 26th, 2016","May 5th, 2017",88975,43303,81467,09394,69444,9,72519,MDHYR,VSHJS,HPRGH,XQDXH,FGIQG,CHKYB,HWJXX,SCUAG,PVFWA,IBTZF,VHJMZ,QTXLU,OBOLB,PZZNZ,GBBGH,1,NTWPO,ISWDU,QWPCO,ODQQJ,NTMYZ,WKPEW,QNFXX,YYEZG,HGGHD,XLGUM,GIRBJ,BVCGV,IGFOG,CRDZQ,CYZFQ,DHBVU,SYFEO,BTKAE,CLJRN,PTZGQ,VOKOR,BYOPI,ASGYL,UFWOK,GMYMB,GLNXW,XSZJN,GEYMC,IOTPZ,QZTDU,DASJN,XFEBE,LMWOT,JIXBQ,ZZLAM,WJYRR,UJHMZ,LDWNA,OFZOZ,UABJV,FEVNA,BIFQC,IBLIE,GTQJX,RWIIH,orange,OQFTM,DPIBA,851,SJKTJ,MBGWJ,XYAIB,DOZOC,ZUFPR
August,02999,87902,"June 9th, 2017",0,8,83774249,21,1,12,41,11,38039,87036,28928,"October 15th, 2017","January 20th, 2018",89418,17347,62304,41827,88670,4,38047,UZMHX,VQMMQ,FSDGB,CAFBF,MLOSN,ZOPUB,TLVKG,COSUL,XXBKK,GCEOG,ABFZA,UJQFM,ZWVCW,PUDAI,WWYAT,9,VTQJK,EKZHC,TVSYM,ARFXH,IYUZD,HGPAJ,GEPHI,YARIP,HHFGW,ITDVM,BNQIX,EGXIG,LFPIL,WDUWS,CLHXI,AUGTU,XZXVI,JIFNJ,AAZLU,GYSDT,CHFDC,YSTBT,QCAVW,CESMQ,HJCYX,VUGSQ,MTILQ,IIPEA,XHHWR,LKIWR,NNULJ,PMFBR,STDNY,WRLHC,AZRGN,ZWKQN,HKFDT,TTFYG,FCEMY,LCDBY,HUZZK,CILJL,HKDFC,KFSLH,OEHWP,test,PDVCX,UJVBG,421,LEJEV,BESHO,MMBDN,MHKZM,HUNQE
Micah,95937,71679,"June 27th, 2018",1,8,20945550,26,5,20,34,32,09725,48224,69182,"September 11th, 2018","June 6th, 2018",12394,89360,79254,51810,25698,0,43340,RZLZZ,MMZPH,TGUYZ,HPJPR,HWTLM,DKLRL,WQJLT,EMTOK,FWQRD,SGKKP,JAVNX,VSPTP,LCHLM,FRZHY,UUNKT,6,PMTMX,NKTSC,QTAVB,FRCPG,GXXNR,OYTRX,AOASY,SYYSP,ALJAQ,BEYKO,DAXCV,LVOJY,ORXZV,HVXPE,PEYNX,BMQQB,BRQZG,AIGAI,PZNKO,NCJVK,EVSUI,WWEXB,ALBCQ,SUIDC,NWGQU,QCPKS,ELDAU,DVEDA,GNXGF,IAJUM,XVUSJ,LIIVA,QQVPD,ALYIY,UQFJX,QSDMH,JUWYG,LOBZZ,CEWTT,EDUEV,VTAIR,LPTEY,MVYEU,BREEH,CBLDU,,YFRQJ,WVNZC,718,DATGW,CALRF,HBGRF,DSTGM,MJNXJ
Adrian,08279,35863,"December 10th, 2018",0,5,45098089,37,7,10,9,25,15964,61516,91061,"May 2nd, 2019","June 27th, 2016",81637,33653,92923,10144,78553,4,90417,RTUIK,JESFB,OBLVL,BLUSN,DQQMT,JXDTV,ZJLCS,OVVVO,USKEB,IOPEI,RIXSX,HGKYT,QKLPG,YBYEA,WUTDL,4,CCITW,MGGHM,KLJGI,BHFKL,ZMJFV,QFLSE,LIKDK,NQECY,LRSVM,EDGSE,IFVXG,GIXVL,YUGGA,NLSFI,JCRBA,CPBPZ,LFLPD,XHZFK,DNEKP,DWNXS,HNZPF,FYYVP,IRMTM,GVQYB,FSVYB,WLMKZ,DOVMC,ZFCAY,KLPFM,GPZXX,PZDVQ,RNPMT,NQWYS,FHLGW,XXMVP,GFWJD,SKPDS,VPBAL,UYBBZ,LOTBU,OKCQE,ZPUUU,BZPVA,GDVTH,RNQNK,orange,IDUII,WXCYL,071,LZGLA,GRGPL,KRNAI,UHEQE,YBRTN
Deborah,55847,30264,"March 25th, 2019",1,4,73233235,7,10,11,26,41,79959,86672,70983,"May 15th, 2017","July 2nd, 2019",00055,29399,36773,78721,78234,1,74215,VIHNP,MMXYB,GUDIZ,SIMDG,ZXUXC,ZQEUI,DMEEG,HSPNL,JOMOO,QGPRC,XCNWS,MZLDA,NKUPV,FQRWP,HAHBF,4,KZSIM,FTCUM,VZAKD,YBVDQ,GIGHC,QFNPO,UXOKE,XBFRL,XPEMF,UVLKY,NPJDC,OSRDA,OFHEV,LQGIB,HNJGI,NXNUT,UKFEH,WUUSI,DLTPB,EMEXK,UYCNX,TNFKV,KXSES,LYSSZ,BEVPR,WOUSE,WFTSA,LNLYY,YEWJM,MURRE,PYHMM,ATKKO,EEIAT,FPITM,FEPPU,IKODR,LXBAG,PJONB,QBKRE,LGJZS,HLFXI,NPBUO,MQSMU,ZGJXC,TJJNA,violet,KHJAL,KXZCU,885,YLVLD,ZDBOG,VRQDW,GUKLK,NOTFV
Neville,39590,64429,"June 3rd, 2015",1,4,38785382,17,9,18,9,15,15005,65865,30997,"January 10th, 2016","November 14th, 2019",03995,46917,55342,66423,90384,8,07520,CAMXS,RLSKZ,BDJJK,JSCOY,IERGH,TCKWT,JHNNU,XLCVH,HFIMQ,VXIGS,SUAZP,WQBXF,HAJWY,LKCFZ,ISWPQ,0,JTRUY,SOOJB,UJJMY,MSYET,UKJSJ,CQXWJ,HYQQN,ZOMXC,HZYVY,NEFYM,UXGZQ,BVUEI,GOFCY,QGRZR,DUOWX,HMFYF,SNZKT,CFHBN,CZZFF,WINAU,YNVPP,JJZSM,UCKKF,WIYOW,QYTNX,HICDU,RVMEK,DZLHR,NUUEQ,SYTEH,TCIVQ,IQCTP,SZBTU,SODEZ,RNKCI,NKZHA,HFKLI,VDILK,IYJBS,CPIVY,PAKFI,PZWKX,WNQOF,SSIIZ,LAHQT,orange,QJAOQ,RMSEH,384,CGOMB,CFAWG,FJQYW,AYDDH,XRUSG
Judith,67377,81253,"July 17th, 2017",0,6,72322417,22,3,17,16,14,09230,27113,98007,"September 2nd, 2018","November 18th, 2015",52102,77432,46629,03650,13171,2,12907,AWNJV,OXRGF,PPLRT,TWIQW,LJIPN,TJTMU,LMBWF,ODYYJ,TAJPT,DMIHX,MMTAJ,PBNQZ,WOHGW,DWQJA,GZREP,7,ABOTI,RATWE,LGAIC,NHRWG,KLOUH,QHYCS,LYULR,AECYY,NIJIN,GXVBD,AHLSY,QNNBJ,YSIAT,QEZFZ,EAIWL,TGHFL,CMSUO,FGTZO,TSYFO,ARNJP,AUVUZ,HCCKP,ZAELT,SEOCL,DKGRM,USFPN,MOXFZ,OYGEM,URSSR,BAHQS,EMHOL,QYJQX,DAEHY,IEDNG,JIFNE,IFCHL,TWRDM,MFIRB,ZBFFX,HHNUI,SEFJT,TOHJY,EPTYR,ZRULX,SZTDH,orange,KXDIK,GNLTX,447,LEBLQ,KUMKM,PUJKV,YRQGD,AEZPI
Lareina,34425,02353,"May 22nd, 2017",1,5,80631652,1,0,19,30,10,13932,05439,06256,"June 21st, 2016","May 27th, 2018",43346,82543,44549,15530,86260,9,97141,XOOXT,XYMZF,PJLJQ,DIXWC,MAMOC,JVZRI,PUDYZ,LHDBP,JKTYY,FRNGP,NEGJH,SGQFO,UIXHN,FTYUW,BCBYQ,0,JAIUV,FFGZF,PCYYZ,EAUOS,FZUUZ,QMSQH,JRUKH,OPBOC,DHWHR,KGXTS,FCIXU,ERLOS,SZYGP,DDJDD,YGCTF,VMZLZ,ZIOJE,FKIFJ,VSANC,MIOFA,QEWDJ,XGKJZ,ICUHK,HPDCZ,MYOKR,IIZGZ,YTNJB,WHJCR,XRBAZ,RXYZP,KGTMS,TQHGQ,HCSHK,FGZIG,MARVR,DWCPY,LWJWV,ZMQLD,RXBHH,OQVKD,JMQYW,PCAUD,FDCFE,EHMKG,OSEJV,orange,XXSHM,GQHQR,989,FEEEW,VHJFG,XJKXG,DDEHR,MYULZ
Neville,17377,65695,"October 5th, 2016",0,3,55304980,42,2,15,1,23,00697,76313,85457,"August 1st, 2015","February 28th, 2019",53735,00499,67976,01686,55977,2,42346,UNYXC,EVILY,RPBSV,TYKNP,ORVUN,YSVOY,NMUBY,IJDRL,RZSAD,ZYHHP,NNZQD,ZOWDO,ZHNNA,RKPSL,DZDPQ,2,JPQNU,XDWHI,LSTUN,VYFDC,QSWWS,NVWXR,KYLMA,VYIUK,SROXB,UMKCF,VLVAM,EMCEV,DFHDV,GUFNX,MVIPZ,WCBVR,RWOOP,QMBCF,IHNHY,QTAWI,PCQRP,YLGWT,LKPOB,ADZXY,DXSAH,YRKXB,KWRBL,RRENP,BVJNE,GHAXL,IKLRB,QPLDN,VWMVW,KWGGN,QKWGG,NEDZC,QCWUJ,BYIXI,XVKBJ,FQFDV,GGVAE,TXHBG,GQVWV,UGLRJ,NBQGG,test,QCDKG,GAGEU,539,TDSED,YNNAZ,FQQZA,JIICB,XELRW
Isadora,80238,61573,"June 17th, 2015",0,7,61420822,35,2,20,40,23,22483,31440,41130,"December 7th, 2017","January 20th, 2015",03077,87352,98451,85820,33429,6,04459,MNYCQ,PFYIJ,PAQOL,YAUZW,OVYDV,WLUIC,RJPKS,HPPAQ,TJGIV,ADGAN,DXVSB,UQRPY,OVLRY,HFCBS,JPQDR,8,QSDRN,HMTMG,AITRN,HVHZK,HMYNG,KJRJP,NALDE,SLQVN,WBDDK,SAXFM,HHDQP,MYLSM,SPJGR,RFOCW,CUASP,EZTDB,SKVXH,ORSPH,EZSSV,LBXSU,WPSXR,CRDGS,MBMXR,TZXWC,OPFDH,OAQUB,RAOEH,BLDQN,EOEYK,FMJAA,SSXIJ,UIMAO,EZDLM,HIUDL,ZCCLV,HODEE,JDSRF,QBLFV,SAYJD,VQVIB,SYKKY,AFYKD,JXKXD,OUVKE,DCAJH,violet,SGMID,SKACG,624,VUYRE,WAJVQ,UFGAB,DLTZI,HOYDW
Rooney,50252,93840,"August 6th, 2017",0,0,58247937,43,2,13,2,30,04487,94080,21797,"April 12th, 2019","December 26th, 2015",06065,80975,04186,25905,88501,6,16629,YIKRH,OPPAN,DBZZX,OXZOC,CRDOC,MCEJC,XLDGH,WIZNT,SHKRD,WXQID,IUJOJ,PFJKD,UOQVL,ACJNQ,ULLLK,0,SDMTD,YYNWR,WPXQI,FSSUP,KMMII,OPNIP,OPDFZ,GMNKI,NXBSR,PHLJE,AXPDG,WHJHH,WSMBW,QNUQX,IPHJZ,WFMQZ,QFWVE,VGKSW,WRBQS,UOTXE,QYSDI,SKQAP,YAXTW,WKYDC,HHUSL,OALSH,VBJVJ,MNIFC,DCQIB,MLLIX,XKBZL,XGYCP,LXAUP,OBASV,RYAPW,ZJHMY,NBAFO,HFFPH,HLIYM,RIFMS,VCICK,JECHK,SPOYB,NXUZF,YJLVS,,UFYRH,DXZIW,121,JRJTP,EAXUO,QSSJA,VYDNZ,VDSSK
Imogene,50019,71574,"March 13th, 2016",1,3,34993039,49,1,11,44,34,99585,42342,00712,"December 26th, 2019","November 22nd, 2016",73509,09887,55142,79686,37911,1,60063,GLDFL,PCWPV,EYDYS,TJSAM,RVLGO,GMFDC,QCUIE,FSQUT,FOJSE,XZMNA,SDOOA,NURFR,PKBIA,LVBGA,FLHHK,7,APTFT,LCJFK,YVUOW,CUCXV,HYMPH,QLFVI,TKLFV,QYHUA,WSLPS,AIOQM,PXNEE,ENPNX,EVHBY,IMOHT,JPWZJ,SHASV,KAMII,IQONH,HMBSH,UYTMT,SVKOQ,VNPQB,MATOJ,YVWNA,TMBGD,YSEVE,TGFUN,VYEHL,FTIUZ,IOJDH,NPCGK,KPZSC,QTPNT,OVFTL,ZFITL,SONIM,EACEK,JADQE,ASUNE,YEGBS,EDBHG,INZRP,IWCLQ,CFSRA,KDUHL,,JCBZP,IDTXL,943,ZRPMQ,EUVPR,PJNFC,DXHPM,YOMZT
Hiram,72860,14949,"February 2nd, 2015",0,10,19696104,25,6,19,7,23,60644,87942,13961,"November 5th, 2017","September 10th, 2017",38005,18449,69540,35793,01591,5,23398,AGUBZ,RUGDR,NJXLC,HOCNS,DAAXW,FCBSE,TEEUQ,JDCOS,LDYLJ,OCKYJ,SMNGA,QWZQE,CHGYS,JFIBJ,IBRVV,6,HIIMU,GORER,UXYWW,MUOYH,RCGZQ,BQMOX,EKCOJ,YVRPD,NUFOO,FDOAL,YKUSC,MAARF,UBPOW,GRWQZ,BCCVH,IAVDW,VFOGT,LSPJE,UIONL,GODXG,KSPHU,BQLLU,DBOIP,AYUPU,GEYVL,RMCQY,PCXDM,UGCWG,KUZSC,MIQPQ,FJKCT,UOYMH,RZJRL,LLUNF,FTALF,ZSWTU,MFXKJ,IBVSH,URXPU,RNIAS,PXTZT,VZDDJ,VHHGB,FRFYW,OZDNX,violet,NUHUE,NBHSZ,976,HMIXU,UNWHI,VSDIN,IWVZC,PQNUS
